GA5,GA10,GA15,GA,GO5,GO10,GO15,GO,MA5,MA10,MA15,MA,MS5,MS10,MS15,MS,aa
924.739,924.214,924.025,924.55,994.276,994.371,994.121,994.19,72.7703,72.7627,72.7497,72.75,56.9134,56.9538,56.9464,56.96,101
924.878,924.502,924.258,924.96,994.215,994.314,994.048,994.26,72.7704,72.7648,72.7442,72.7145,56.9136,56.952,56.9406,56.96,102
925.023,924.81,924.567,924.95,994.159,994.259,994.004,994.164,72.7712,72.767,72.7405,72.74,56.9136,56.9492,56.9339,56.945,103
925.172,925.133,924.947,924.63,994.108,994.206,993.987,994.25,72.7726,72.7695,72.7395,72.75,56.9134,56.9454,56.9266,56.945,104
925.325,925.466,925.381,924.84,994.062,994.155,993.993,994.3799,72.7746,72.7724,72.7416,72.71,56.913,56.9405,56.919,56.9,105
925.482,925.802,925.844,924.73,994.022,994.108,994.014,994.0346,72.7769,72.7759,72.7471,72.73,56.9122,56.9345,56.9115,56.92,106
925.642,926.136,926.306,925.83,993.987,994.065,994.043,994.2,72.7796,72.7802,72.7558,72.73,56.9113,56.9274,56.9043,56.92,107
925.806,926.463,926.738,925.955,993.958,994.026,994.072,994.45,72.7824,72.7853,72.7672,72.7201,56.9101,56.9195,56.8977,56.91,108
925.972,926.777,927.113,926.41,993.934,993.993,994.096,994.18,72.7853,72.7913,72.7804,72.75,56.9086,56.9107,56.8917,56.9,109
926.141,927.073,927.413,927,993.916,993.965,994.111,994.21,72.788,72.798,72.7945,72.8,56.9069,56.9014,56.8865,56.91,110
926.311,927.348,927.63,927.47,993.903,993.942,994.114,994,72.7904,72.8053,72.8083,72.835,56.9049,56.8917,56.8821,56.899,111
926.483,927.598,927.768,927.83,993.895,993.924,994.106,993.87,72.7924,72.8129,72.8209,72.89,56.9027,56.8818,56.8785,56.89,112
926.656,927.82,927.84,927.85,993.893,993.912,994.088,994.1,72.7939,72.8204,72.8315,72.9,56.9003,56.872,56.8754,56.8875,113
926.829,928.014,927.868,927.8801,993.895,993.905,994.064,994.59,72.7947,72.8276,72.8396,72.9001,56.8977,56.8626,56.8727,56.905,114
927.002,928.178,927.874,927.46,993.902,993.902,994.037,994.04,72.7947,72.8339,72.845,72.87,56.8948,56.8538,56.8703,56.86,115
927.174,928.314,927.883,927.6,993.914,993.904,994.009,993.71,72.7939,72.839,72.8478,72.85,56.8918,56.8457,56.8679,56.875,116
927.344,928.421,927.913,928,993.929,993.909,993.982,994,72.7923,72.8424,72.8481,72.825,56.8886,56.8386,56.8654,56.89,117
927.514,928.504,927.975,928.48,993.948,993.918,993.957,993.69,72.7899,72.8439,72.8465,72.83,56.8853,56.8326,56.8626,56.88,118
927.68,928.564,928.071,928.6685,993.97,993.929,993.935,993.5701,72.7867,72.843,72.8434,72.8266,56.8818,56.8277,56.8593,56.85,119
927.844,928.604,928.194,928.34,993.995,993.943,993.916,994.02,72.7827,72.8398,72.8392,72.84,56.8781,56.8239,56.8556,56.82,120
928.005,928.629,928.331,928.15,994.023,993.96,993.899,993.95,72.7781,72.834,72.834,72.84,56.8744,56.8212,56.8515,56.835,121
928.161,928.641,928.466,928.55,994.053,993.978,993.886,993.73,72.773,72.8259,72.8281,72.83,56.8706,56.8196,56.8471,56.84,122
928.313,928.646,928.583,928.4,994.084,993.999,993.877,993.7987,72.7674,72.8155,72.8212,72.81,56.8668,56.8188,56.8424,56.835,123
928.461,928.647,928.671,927.9643,994.116,994.022,993.875,993.8048,72.7616,72.8034,72.8132,72.79,56.8629,56.8188,56.8377,56.8158,124
928.603,928.648,928.725,928.25,994.149,994.048,993.883,993.87,72.7557,72.7898,72.8037,72.79,56.859,56.8195,56.8333,56.83,125
928.739,928.651,928.747,928.25,994.183,994.076,993.904,993.63,72.7499,72.7754,72.7924,72.75,56.855,56.8205,56.8292,56.815,126
928.868,928.659,928.749,928.69,994.216,994.107,993.941,993.795,72.7444,72.7606,72.7794,72.755,56.8512,56.8219,56.8259,56.835,127
928.991,928.674,928.745,928.73,994.249,994.142,993.996,993.875,72.7392,72.7462,72.7647,72.755,56.8473,56.8234,56.8233,56.83,128
929.107,928.698,928.754,929.2748,994.281,994.18,994.069,994.105,72.7346,72.7328,72.7487,72.7554,56.8436,56.825,56.8217,56.81,129
929.216,928.732,928.791,929.54,994.312,994.222,994.158,994.67,72.7307,72.7207,72.7321,72.745,56.8399,56.8266,56.8212,56.84,130
929.317,928.775,928.868,929.291,994.342,994.267,994.26,994.28,72.7275,72.7107,72.7159,72.74,56.8364,56.828,56.8217,56.845,131
929.409,928.827,928.986,929.19,994.369,994.316,994.369,994.76,72.7252,72.7029,72.7011,72.71,56.8329,56.8293,56.8232,56.825,132
929.494,928.886,929.14,928.995,994.395,994.368,994.48,994.66,72.7238,72.6977,72.6889,72.7,56.8297,56.8306,56.8255,56.81,133
929.57,928.951,929.316,928.99,994.418,994.423,994.586,994.8,72.7233,72.6952,72.6802,72.69,56.8266,56.8317,56.8285,56.805,134
929.637,929.021,929.492,929,994.438,994.479,994.679,994.8,72.7237,72.6953,72.6759,72.64,56.8237,56.8328,56.8319,56.82,135
929.695,929.092,929.645,929.645,994.456,994.537,994.756,994.7,72.725,72.6978,72.6765,72.665,56.821,56.8339,56.8354,56.82,136
929.744,929.162,929.753,929.74,994.471,994.594,994.811,994.62,72.727,72.7025,72.6817,72.665,56.8185,56.8351,56.8387,56.81,137
929.785,929.229,929.8,929.77,994.484,994.649,994.845,994.94,72.7297,72.709,72.6912,72.67,56.8163,56.8364,56.8416,56.81,138
929.816,929.291,929.778,929.74,994.493,994.701,994.858,994.7101,72.7329,72.7166,72.7041,72.72,56.8143,56.8378,56.8438,56.83,139
929.839,929.345,929.688,929.64,994.5,994.747,994.851,994.59,72.7365,72.7251,72.719,72.745,56.8125,56.8394,56.8452,56.829,140
929.852,929.389,929.543,929.35,994.503,994.787,994.83,994.87,72.7403,72.7337,72.7345,72.77,56.8111,56.841,56.8456,56.86,141
929.856,929.423,929.364,929.457,994.504,994.819,994.799,994.8675,72.7441,72.742,72.7492,72.76,56.8099,56.8426,56.8449,56.845,142
929.852,929.445,929.176,929.42,994.502,994.84,994.761,994.92,72.7478,72.7495,72.7616,72.77,56.8089,56.8441,56.8432,56.85,143
929.839,929.455,929.004,929.27,994.498,994.851,994.719,994.72,72.7512,72.7558,72.7707,72.79,56.8083,56.8454,56.8406,56.83,144
929.818,929.452,928.873,929.2745,994.492,994.848,994.678,994.39,72.7541,72.7607,72.7758,72.825,56.808,56.8464,56.8371,56.86,145
929.788,929.438,928.796,929.14,994.484,994.832,994.636,994.25,72.7564,72.7639,72.7768,72.82,56.8079,56.8468,56.8331,56.86,146
929.751,929.413,928.781,929.3246,994.474,994.803,994.596,994.2724,72.758,72.7654,72.7739,72.7775,56.8081,56.8467,56.8286,56.865,147
929.706,929.378,928.823,929,994.462,994.76,994.555,994.2222,72.7587,72.7652,72.7677,72.7649,56.8086,56.8459,56.8241,56.85,148
929.654,929.335,928.908,929.2,994.45,994.703,994.515,994.3897,72.7585,72.7635,72.7594,72.74,56.8094,56.8443,56.8196,56.84,149
929.595,929.286,929.017,928.74,994.436,994.635,994.474,994.4,72.7573,72.7606,72.75,72.72,56.8104,56.8419,56.8155,56.81,150
929.53,929.233,929.127,928.8,994.423,994.555,994.432,994.53,72.7552,72.7566,72.7408,72.75,56.8117,56.8387,56.8119,56.795,151
929.458,929.176,929.215,929.02,994.409,994.467,994.391,994.72,72.7521,72.752,72.7327,72.7,56.8132,56.8347,56.809,56.795,152
